wavelength_nm,value
414.13,0.0508
417.32,0.0583
420.52,0.054
423.72,0.0609
426.91,0.0644
430.11,0.0627
433.31,0.059
436.5,0.0679
439.7,0.0699
442.9,0.066
446.09,0.0694
449.29,0.0703
452.49,0.0725
455.68,0.0708
458.88,0.072
462.08,0.0715
465.27,0.0765
468.47,0.0755
471.67,0.0775
474.86,0.0772
478.06,0.0808
481.26,0.0847
484.45,0.0892
487.65,0.085
490.85,0.0848
494.04,0.0857
497.24,0.0912
500.43,0.0976
503.63,0.0936
506.83,0.0948
510.03,0.0971
513.22,0.1024
516.42,0.1067
519.61,0.0987
522.81,0.1013
526.01,0.1056
529.2,0.1056
532.4,0.1091
535.6,0.1133
538.79,0.1171
541.99,0.1156
545.19,0.1181
548.38,0.1207
551.58,0.1194
554.78,0.1216
557.97,0.1249
561.17,0.1253
564.37,0.1246
567.56,0.1284
570.76,0.1327
573.96,0.1325
577.15,0.1295
580.35,0.1312
583.55,0.1374
586.74,0.1365
589.94,0.1389
593.14,0.1377
596.33,0.1392
599.53,0.1401
602.73,0.1419
605.92,0.147
609.12,0.143
612.32,0.1453
615.51,0.1465
618.71,0.1454
621.91,0.1504
625.1,0.1525
628.3,0.1535
631.5,0.1498
634.69,0.1531
637.89,0.1542
641.09,0.1587
644.28,0.1599
647.48,0.1668
650.67,0.1574
653.87,0.1587
657.07,0.1602
660.27,0.1504
663.46,0.1649
666.66,0.1666
669.85,0.1704
673.05,0.1714
676.25,0.1666
679.45,0.1701
682.64,0.1697
685.84,0.1893
689.03,0.1898
692.23,0.1903
695.43,0.1908
698.62,0.1913
701.82,0.1917
705.02,0.1922
708.21,0.1927
711.41,0.1932
714.61,0.1937
717.8,0.1942
721.0,0.1946
724.2,0.1951
727.39,0.1956
730.59,0.1961
733.79,0.1966
736.98,0.1971
740.18,0.1975
743.38,0.199
746.57,0.2061
749.77,0.2083
752.97,0.2086
756.16,0.209
759.36,0.2093
762.56,0.2097
765.75,0.21
768.95,0.2104
772.15,0.2107
775.34,0.2196
778.54,0.2213
781.74,0.2245
784.93,0.2291
788.13,0.2219
791.33,0.2229
794.52,0.2238
797.72,0.2248
800.92,0.2257
804.11,0.2267
807.31,0.2276
810.51,0.2286
813.7,0.2295
816.9,0.2305
820.1,0.2314
823.29,0.2324
826.49,0.2333
829.68,0.2343
832.88,0.2352
836.08,0.2362
839.28,0.2371
842.47,0.2381
845.67,0.2428
848.86,0.2485
852.06,0.243
855.26,0.2405
858.46,0.2411
861.65,0.2413
864.85,0.2494
868.04,0.2453
871.24,0.2335
874.44,0.2414
877.63,0.2352
880.83,0.2396
884.03,0.2526
887.22,0.2372
890.42,0.2515
893.62,0.2473
896.81,0.2472
900.01,0.2468
903.21,0.2463
906.4,0.2459
909.6,0.2456
912.8,0.2452
915.99,0.2448
919.19,0.2446
922.39,0.2445
925.58,0.2443
928.78,0.244
931.98,0.2438
935.17,0.2437
938.37,0.2436
