wavelength_nm,value
414.13,0.1488
417.32,0.1498
420.52,0.1605
423.72,0.1687
426.91,0.1746
430.11,0.1916
433.31,0.1769
436.5,0.1871
439.7,0.1934
442.9,0.1956
446.09,0.201
449.29,0.1922
452.49,0.1998
455.68,0.1944
458.88,0.1996
462.08,0.2012
465.27,0.1996
468.47,0.1958
471.67,0.1973
474.86,0.1987
478.06,0.2023
481.26,0.2108
484.45,0.2134
487.65,0.2096
490.85,0.2046
494.04,0.2008
497.24,0.2121
500.43,0.2197
503.63,0.2083
506.83,0.2063
510.03,0.2098
513.22,0.2122
516.42,0.225
519.61,0.2089
522.81,0.205
526.01,0.2164
529.2,0.2057
532.4,0.2124
535.6,0.2153
538.79,0.2204
541.99,0.2191
545.19,0.2137
548.38,0.2143
551.58,0.2175
554.78,0.2171
557.97,0.2246
561.17,0.2181
564.37,0.2175
567.56,0.2202
570.76,0.2246
573.96,0.2195
577.15,0.2152
580.35,0.2141
583.55,0.2195
586.74,0.2251
589.94,0.2271
593.14,0.2183
596.33,0.2248
599.53,0.2203
602.73,0.2233
605.92,0.2256
609.12,0.2263
612.32,0.224
615.51,0.2286
618.71,0.2228
621.91,0.2274
625.1,0.2312
628.3,0.2301
631.5,0.2276
634.69,0.2219
637.89,0.2298
641.09,0.2344
644.28,0.2397
647.48,0.2425
650.67,0.2335
653.87,0.2369
657.07,0.2405
660.27,0.2285
663.46,0.2366
666.66,0.2397
669.85,0.24
673.05,0.2396
676.25,0.2412
679.45,0.2362
682.64,0.2427
685.84,0.2635
689.03,0.2622
692.23,0.261
695.43,0.2597
698.62,0.2585
701.82,0.2572
705.02,0.256
708.21,0.2547
711.41,0.2535
714.61,0.2522
717.8,0.251
721.0,0.2497
724.2,0.2485
727.39,0.2472
730.59,0.246
733.79,0.2447
736.98,0.2435
740.18,0.2422
743.38,0.2457
746.57,0.2511
749.77,0.2482
752.97,0.2482
756.16,0.2481
759.36,0.2481
762.56,0.2481
765.75,0.2481
768.95,0.2481
772.15,0.2481
775.34,0.2592
778.54,0.2546
781.74,0.2562
784.93,0.251
788.13,0.2573
791.33,0.2578
794.52,0.2583
797.72,0.2588
800.92,0.2593
804.11,0.2598
807.31,0.2603
810.51,0.2608
813.7,0.2613
816.9,0.2618
820.1,0.2623
823.29,0.2628
826.49,0.2633
829.68,0.2638
832.88,0.2643
836.08,0.2648
839.28,0.2653
842.47,0.2658
845.67,0.2546
848.86,0.2682
852.06,0.2621
855.26,0.2545
858.46,0.2509
861.65,0.2552
864.85,0.2624
868.04,0.2515
871.24,0.2333
874.44,0.2381
877.63,0.2511
880.83,0.2509
884.03,0.2466
887.22,0.237
890.42,0.2561
893.62,0.2721
896.81,0.2719
900.01,0.2719
903.21,0.2718
906.4,0.272
909.6,0.272
912.8,0.272
915.99,0.2722
919.19,0.2724
922.39,0.2727
925.58,0.273
928.78,0.2732
931.98,0.2734
935.17,0.2739
938.37,0.2742
941.57,0.2745
944.76,0.2747
947.96,0.2751
951.16,0.2756
954.35,0.2761
957.55,0.2763
960.75,0.2764
963.94,0.2766
967.14,0.2766
970.1,0.2766
975.54,0.2766
980.98,0.2766
986.42,0.2763
