wavelength_nm,value
414.13,0.0191
417.32,0.0218
420.52,0.0231
423.72,0.0222
426.91,0.0266
430.11,0.0279
433.31,0.0222
436.5,0.0244
439.7,0.0252
442.9,0.0254
446.09,0.0246
449.29,0.0266
452.49,0.0255
455.68,0.0255
458.88,0.0259
462.08,0.0283
465.27,0.0264
468.47,0.0253
471.67,0.0262
474.86,0.0253
478.06,0.0294
481.26,0.0279
484.45,0.0289
487.65,0.0273
490.85,0.0288
494.04,0.029
497.24,0.0295
500.43,0.0312
503.63,0.0304
506.83,0.0339
510.03,0.0359
513.22,0.0393
516.42,0.0441
519.61,0.0463
522.81,0.0487
526.01,0.054
529.2,0.0577
532.4,0.0598
535.6,0.0645
538.79,0.069
541.99,0.068
545.19,0.0698
548.38,0.0701
551.58,0.0716
554.78,0.074
557.97,0.0749
561.17,0.0731
564.37,0.0699
567.56,0.0695
570.76,0.0687
573.96,0.0645
577.15,0.0639
580.35,0.0626
583.55,0.0629
586.74,0.0634
589.94,0.0605
593.14,0.0601
596.33,0.0613
599.53,0.0601
602.73,0.0588
605.92,0.0603
609.12,0.0589
612.32,0.0583
615.51,0.0564
618.71,0.0564
621.91,0.0568
625.1,0.0563
628.3,0.0556
631.5,0.0566
634.69,0.0564
637.89,0.056
641.09,0.0577
644.28,0.0546
647.48,0.0531
650.67,0.0492
653.87,0.0497
657.07,0.0486
660.27,0.047
663.46,0.0474
666.66,0.0472
669.85,0.0458
673.05,0.0435
676.25,0.0439
679.45,0.0434
682.64,0.0453
685.84,0.0527
689.03,0.0661
692.23,0.0796
695.43,0.0931
698.62,0.1065
701.82,0.12
705.02,0.1335
708.21,0.147
711.41,0.1604
714.61,0.1739
717.8,0.1874
721.0,0.2008
724.2,0.2143
727.39,0.2278
730.59,0.2413
733.79,0.2547
736.98,0.2682
740.18,0.2817
743.38,0.2941
746.57,0.2992
749.77,0.3119
752.97,0.3157
756.16,0.3196
759.36,0.3234
762.56,0.3272
765.75,0.3311
768.95,0.3349
772.15,0.3388
775.34,0.339
778.54,0.3492
781.74,0.3412
784.93,0.3468
788.13,0.3514
791.33,0.353
794.52,0.3547
797.72,0.3564
800.92,0.358
804.11,0.3597
807.31,0.3614
810.51,0.363
813.7,0.3647
816.9,0.3663
820.1,0.368
823.29,0.3697
826.49,0.3713
829.68,0.373
832.88,0.3747
836.08,0.3763
839.28,0.378
842.47,0.3797
845.67,0.3826
848.86,0.3933
852.06,0.379
855.26,0.3894
858.46,0.3894
861.65,0.3945
864.85,0.4057
868.04,0.3934
871.24,0.3847
874.44,0.3978
877.63,0.3841
880.83,0.3911
884.03,0.3997
