wavelength_nm,value
414.13,0.0265
417.32,0.0277
420.52,0.0268
423.72,0.0308
426.91,0.0339
430.11,0.0319
433.31,0.0326
436.5,0.033
439.7,0.0347
442.9,0.0333
446.09,0.0371
449.29,0.037
452.49,0.0374
455.68,0.037
458.88,0.0389
462.08,0.0379
465.27,0.0379
468.47,0.0355
471.67,0.041
474.86,0.0404
478.06,0.0422
481.26,0.0467
484.45,0.0456
487.65,0.0464
490.85,0.0462
494.04,0.0479
497.24,0.0514
500.43,0.0536
503.63,0.0508
506.83,0.0539
510.03,0.0533
513.22,0.058
516.42,0.0588
519.61,0.0589
522.81,0.0559
526.01,0.0595
529.2,0.0606
532.4,0.0631
535.6,0.0654
538.79,0.0678
541.99,0.07
545.19,0.0693
548.38,0.07
551.58,0.0728
554.78,0.0743
557.97,0.0773
561.17,0.0762
564.37,0.0763
567.56,0.0778
570.76,0.0801
573.96,0.0798
577.15,0.0793
580.35,0.0789
583.55,0.0799
586.74,0.0825
589.94,0.083
593.14,0.083
596.33,0.082
599.53,0.0834
602.73,0.0842
605.92,0.0828
609.12,0.0834
612.32,0.0837
615.51,0.0835
618.71,0.0817
621.91,0.085
625.1,0.0873
628.3,0.0853
631.5,0.0863
634.69,0.0876
637.89,0.0872
641.09,0.0888
644.28,0.0901
647.48,0.0943
650.67,0.0899
653.87,0.0895
657.07,0.0898
660.27,0.0868
663.46,0.0874
666.66,0.0888
669.85,0.0901
673.05,0.0895
676.25,0.0875
679.45,0.0884
682.64,0.0882
685.84,0.0961
689.03,0.0936
692.23,0.0911
695.43,0.0887
698.62,0.0862
701.82,0.0837
705.02,0.0812
708.21,0.0787
711.41,0.0762
714.61,0.0737
717.8,0.0712
721.0,0.0688
724.2,0.0663
727.39,0.0638
730.59,0.0613
733.79,0.0588
736.98,0.0563
740.18,0.0538
743.38,0.0548
746.57,0.0577
749.77,0.057
752.97,0.0568
756.16,0.0566
759.36,0.0564
762.56,0.0562
765.75,0.0559
768.95,0.0557
772.15,0.0555
775.34,0.0577
778.54,0.0604
781.74,0.0612
784.93,0.0588
788.13,0.0631
791.33,0.062
794.52,0.0609
797.72,0.0599
800.92,0.0588
804.11,0.0577
807.31,0.0566
810.51,0.0555
813.7,0.0544
816.9,0.0533
820.1,0.0522
823.29,0.0511
826.49,0.05
829.68,0.0489
832.88,0.0478
836.08,0.0467
839.28,0.0456
842.47,0.0445
845.67,0.0479
848.86,0.0495
852.06,0.0474
855.26,0.0427
858.46,0.0435
861.65,0.0442
864.85,0.0414
868.04,0.0424
871.24,0.0412
874.44,0.0365
877.63,0.0406
880.83,0.0374
884.03,0.0333
887.22,0.0375
890.42,0.039
893.62,0.0391
896.81,0.0391
900.01,0.0384
903.21,0.0377
906.4,0.037
909.6,0.0362
912.8,0.0355
915.99,0.0348
919.19,0.0341
922.39,0.0334
925.58,0.0326
928.78,0.0319
931.98,0.0312
935.17,0.0305
938.37,0.0298
941.57,0.0291
944.76,0.0283
947.96,0.0276
951.16,0.0269
954.35,0.0262
957.55,0.0255
960.75,0.0248
963.94,0.024
967.14,0.0233
970.1,0.0226
975.54,0.0219
980.98,0.0207
986.42,0.0195
991.86,0.0183
997.3,0.017
1002.74,0.0158
1008.18,0.0136
1013.62,0.0147
1019.06,0.0143
1024.5,0.0136
1029.95,0.0147
1035.39,0.0162
1040.83,0.0157
1046.27,0.0157
1051.71,0.0169
1057.15,0.0167
1062.59,0.0161
1068.03,0.0186
1073.47,0.0176
1078.91,0.017
1084.35,0.0167
1089.79,0.0164
1095.23,0.0161
1100.67,0.0158
1106.11,0.0155
1111.55,0.0151
1116.99,0.0148
1122.43,0.0145
1127.87,0.0142
1133.32,0.0139
1138.76,0.0136
1144.2,0.0133
1149.64,0.013
1155.08,0.0127
1160.52,0.0124
1165.96,0.0121
1171.4,0.0117
1176.84,0.0114
1182.28,0.0111
1187.72,0.0108
1193.16,0.0105
1198.6,0.0117
1204.04,0.0111
1209.48,0.012
1214.92,0.011
1220.36,0.0105
1225.8,0.0125
1231.24,0.012
1236.69,0.0119
1242.13,0.0129
1247.57,0.0126
1253.01,0.0125
1258.45,0.0142
1263.89,0.0143
1269.33,0.0141
1274.77,0.012
1280.21,0.0129
1285.65,0.0119
1291.09,0.0128
1296.53,0.0129
1301.97,0.012
1307.41,0.0127
1312.85,0.0124
1318.29,0.0123
1323.73,0.0114
1329.17,0.0152
1334.61,0.0147
1340.06,0.0143
1345.5,0.0138
1350.94,0.0133
1356.38,0.0128
1361.82,0.0123
1367.26,0.0118
1372.7,0.0114
1378.14,0.0109
1383.58,0.0105
1389.02,0.0101
1394.46,0.0097
1399.9,0.0093
1405.34,0.0089
1410.78,0.0085
1416.22,0.0081
1421.66,0.0077
1427.1,0.0073
1432.54,0.0069
1437.98,0.0065
1443.43,0.0061
1448.87,0.0058
1454.31,0.0054
1459.75,0.005
1465.19,0.0047
1470.63,0.0043
1476.07,0.0039
1481.51,0.0035
1486.95,0.0031
1492.39,0.0027
1497.83,0.0029
1503.27,0.0042
1508.71,0.0042
1514.15,0.004
1519.59,0.0055
1525.03,0.0044
1530.47,0.0046
1535.91,0.0053
1541.35,0.0055
1546.8,0.0058
1552.24,0.0054
1557.68,0.0057
1563.12,0.0045
1568.56,0.0057
1574.0,0.0053
1579.44,0.0055
1584.88,0.005
1590.32,0.0058
1595.76,0.0051
1601.2,0.0062
1606.64,0.0051
1612.08,0.0061
1617.52,0.0063
1622.96,0.0061
1628.4,0.0063
1633.84,0.0044
1639.28,0.0068
1644.72,0.0054
1650.17,0.005
1655.61,0.0065
1661.05,0.0055
1666.49,0.0064
1671.93,0.0062
1677.37,0.0058
1682.81,0.0058
1688.25,0.006
1693.69,0.0066
1699.13,0.0063
1704.57,0.0052
1710.01,0.0061
1715.45,0.006
1720.89,0.0072
1726.33,0.0051
1731.77,0.0034
1737.21,0.0053
1742.65,0.0054
1748.09,0.0058
1753.54,0.0034
1758.98,0.0031
1764.42,0.0052
1769.86,0.0039
1775.3,0.0026
1780.74,0.0036
1786.18,0.0047
1791.62,0.0058
1797.06,0.0069
1802.5,0.0079
1807.94,0.009
1813.38,0.01
1818.82,0.011
1824.26,0.012
1829.7,0.013
1835.14,0.014
1840.58,0.015
1846.02,0.016
1851.46,0.017
1856.91,0.018
1862.35,0.0191
1867.79,0.0201
1873.23,0.0211
1878.67,0.0222
1884.11,0.0232
1889.55,0.0243
1894.99,0.0253
1900.43,0.0263
1905.87,0.0274
1911.31,0.0285
1916.75,0.0295
1922.19,0.0306
1927.63,0.0317
1933.07,0.0329
1938.51,0.0341
1943.95,0.0353
1949.39,0.0365
1954.83,0.0378
1960.28,0.039
1965.72,0.0403
1971.16,0.0416
1976.6,0.0428
1982.04,0.044
1987.48,0.0452
1992.92,0.0463
1998.36,0.045
2003.8,0.0717
2009.24,0.0546
2014.68,0.0643
2020.12,0.0635
2025.56,0.0
2031.0,0.0013
2036.44,0.0597
2041.88,0.0
2047.32,0.0005
2052.76,0.0
2058.2,0.0
2063.65,0.0014
2069.09,0.0
2074.53,0.0
2079.97,0.0005
2085.41,0.0003
2090.85,0.0026
2096.29,0.0002
2101.73,0.0003
2107.17,0.0001
2112.61,0.0704
2118.05,0.0001
2123.49,0.0036
2128.93,0.0002
2134.37,0.0007
2139.81,0.0
2145.25,0.0008
2150.69,0.0004
2156.13,0.002
2161.57,0.0771
2167.02,0.0
2172.46,0.0004
2177.9,0.0
2183.34,0.0781
2188.78,0.0
2194.22,0.0003
2199.66,0.0824
2205.1,0.0839
2210.54,0.0816
2215.98,0.0829
2221.42,0.0818
2226.86,0.0002
2232.3,0.0028
2237.74,0.0795
2243.18,0.0782
2248.62,0.0769
2254.06,0.075
2259.5,0.0731
2264.94,0.0715
2270.39,0.0716
2275.83,0.07
2281.27,0.0685
2286.71,0.0
2292.15,0.0
2297.59,0.0672
2303.03,0.0661
2308.47,0.0635
2313.91,0.0573
2319.35,0.0
2324.79,0.0
2330.23,0.0589
2335.67,0.0546
2341.11,0.0574
2346.55,0.0519
2351.99,0.0609
2357.43,0.0584
2362.87,0.0494
2368.32,0.0534
2373.76,0.054
2379.2,0.0492
2384.64,0.0564
2390.08,0.0549
2395.52,0.0517
2400.96,0.0453
2406.4,0.0474
2411.84,0.042
2417.28,0.0639
2422.72,0.0539
2428.16,0.0435
2433.6,0.0582
2439.04,0.0441
2444.48,0.0401
2449.92,0.0814
2455.36,0.0575
2460.8,0.047
2466.24,0.0506
2471.69,0.0835
2477.13,0.0721
2482.57,0.2755
2488.01,0.4228
2493.45,0.7547
2498.89,0.2248
